,Sent_Count,Word_Count,Char_Count,Avg_Word_Count,Verb_Count,Noun_Count,Adj_Count,Conj_Count,Adverb_Count,pNoun_Count,Grammar_Error_Count
0,3,102,488,3.901960784,18,26,1,2,3,16,0
1,3,105,459,3.476190476,16,20,2,5,4,13,0
2,1,171,770,3.578947368,27,28,8,10,7,25,0
3,13,271,1124,3.350553506,41,39,11,6,14,40,1
4,12,181,809,3.640883978,25,20,9,2,22,25,0
5,33,458,1910,3.436681223,61,61,14,20,30,49,0
6,11,187,814,3.438502674,24,18,10,8,20,29,0
7,7,146,670,3.732876712,17,18,6,3,5,24,0
8,6,381,1743,3.619422572,49,69,12,17,22,74,1
9,9,104,430,3.298076923,9,14,11,3,5,12,0
10,9,203,830,3.226600985,40,15,9,8,19,34,0
11,9,143,604,3.41958042,16,23,12,4,5,12,0
12,11,218,912,3.325688073,22,30,15,9,11,30,3
13,10,184,786,3.380434783,23,33,4,9,9,25,4
14,4,192,837,3.5,29,22,12,16,15,25,1
15,13,208,828,3.168269231,26,28,11,12,6,29,0
16,17,268,1164,3.5,34,42,6,14,12,28,3
17,8,109,514,3.871559633,15,19,11,5,4,7,0
18,12,210,883,3.333333333,37,25,6,10,12,44,0
19,12,154,647,3.305194805,21,24,5,2,3,25,0
20,9,178,745,3.325842697,23,26,8,5,8,23,0
21,16,213,968,3.629107981,30,36,12,8,11,24,1
22,11,211,916,3.464454976,22,32,10,7,17,28,1
23,13,218,991,3.688073394,27,31,22,12,8,44,1
24,5,147,657,3.517006803,28,15,5,2,9,26,0
25,9,112,519,3.723214286,24,12,6,4,4,27,3
26,4,59,276,3.813559322,7,9,5,1,1,8,1
27,4,117,485,3.256410256,13,22,4,7,5,15,1
28,15,362,1460,3.314917127,35,31,12,9,13,42,4
29,12,209,811,3.052631579,31,22,13,6,13,45,0
30,18,396,1709,3.482323232,48,56,14,22,22,70,1
31,10,127,620,4.007874016,12,20,11,3,6,16,1
32,2,168,692,3.363095238,22,23,9,4,10,10,1
33,29,487,2185,3.696098563,50,87,20,14,15,21,1
34,13,188,801,3.414893617,25,24,5,5,11,24,1
35,16,227,956,3.330396476,32,30,14,3,20,38,1
36,8,193,807,3.305699482,32,25,6,8,10,26,0
37,6,188,815,3.39893617,34,25,7,9,13,32,2
38,14,266,1199,3.676691729,42,35,11,9,8,54,1
39,11,153,697,3.764705882,23,20,4,6,7,25,3
40,5,60,220,2.916666667,5,11,2,1,3,7,0
41,7,124,591,3.887096774,19,27,12,2,4,9,0
42,10,199,907,3.633165829,27,23,14,6,8,30,2
43,3,79,332,3.265822785,15,11,8,3,6,7,0
44,15,243,1053,3.423868313,42,31,18,8,15,27,2
45,20,290,1203,3.382758621,26,35,10,10,18,31,0
46,4,143,610,3.34965035,21,18,11,5,9,20,2
47,6,74,307,3.27027027,9,9,4,3,4,10,0
48,23,298,1211,3.224832215,45,31,17,9,24,55,0
49,14,232,977,3.349137931,31,36,9,3,7,42,1
50,8,146,588,3.143835616,25,24,4,2,2,20,1
51,7,135,645,3.859259259,18,17,9,13,11,29,1
52,9,82,310,3.012195122,8,7,6,3,7,15,0
53,14,201,801,3.164179104,29,20,10,5,19,38,0
54,6,103,431,3.310679612,17,17,3,6,5,19,0
55,4,50,219,3.52,10,7,3,1,1,9,0
56,13,386,1614,3.380829016,52,77,9,14,6,24,1
57,7,196,846,3.418367347,25,39,11,10,5,29,1
58,15,218,977,3.596330275,25,23,6,8,23,36,0
59,51,776,3255,3.432989691,112,95,29,21,45,115,1
60,7,179,747,3.296089385,26,29,8,9,8,33,0
61,11,103,408,3.087378641,17,16,2,3,7,17,0
62,15,274,1107,3.156934307,49,34,12,6,15,47,1
63,5,93,369,3.086021505,7,9,4,2,6,16,1
64,11,149,610,3.288590604,17,24,1,5,9,15,1
65,1,79,322,3.113924051,13,11,5,7,1,17,2
66,13,241,903,3.078838174,28,20,5,6,4,24,2
67,10,217,949,3.497695853,27,28,9,5,11,34,0
68,10,221,979,3.529411765,40,26,6,8,9,48,0
69,18,262,1100,3.328244275,28,52,20,16,18,28,0
70,20,219,909,3.337899543,26,36,6,4,13,33,0
71,13,238,902,3.075630252,35,17,5,6,14,38,1
72,7,124,531,3.370967742,19,15,6,9,11,16,0
73,4,123,587,3.869918699,18,16,6,5,11,22,1
74,6,127,558,3.472440945,18,24,3,10,9,22,0
75,4,94,417,3.5,16,18,5,2,6,10,0
76,3,110,453,3.172727273,11,21,7,7,3,17,2
77,6,151,665,3.496688742,30,25,5,7,8,25,0
78,17,281,1181,3.291814947,46,36,9,14,13,62,0
79,6,88,327,3.079545455,4,8,5,3,3,9,0
80,6,225,1015,3.551111111,31,25,16,16,24,32,5
81,11,148,641,3.472972973,15,25,5,7,5,21,0
82,17,236,1031,3.508474576,38,36,12,5,18,44,3
83,30,394,1723,3.64213198,43,51,17,5,20,39,1
84,16,320,1472,3.690625,42,50,18,9,22,50,1
85,8,130,552,3.323076923,12,36,2,12,7,11,3
86,4,183,798,3.426229508,32,29,5,12,6,35,4
87,13,244,1025,3.286885246,44,36,7,8,16,56,0
88,17,208,961,3.740384615,34,30,11,9,19,22,1
89,25,403,1629,3.290322581,57,42,20,12,11,65,3
90,10,120,471,3.125,11,15,6,3,8,19,1
91,6,132,587,3.46969697,18,21,7,7,7,27,2
92,4,54,217,3.148148148,11,7,1,3,2,9,0
93,5,72,313,3.458333333,3,9,12,4,1,11,0
94,17,354,1578,3.579096045,62,52,11,20,22,52,0
95,23,293,1296,3.580204778,41,47,11,11,12,39,0
96,7,91,363,3.10989011,11,19,4,5,3,13,1
97,5,162,654,3.191358025,23,22,3,6,17,24,2
98,5,141,667,3.90070922,16,25,7,4,2,14,0
99,4,175,719,3.16,19,26,16,10,8,32,1
100,11,182,725,3.164835165,28,13,4,9,18,23,0
101,5,148,691,3.804054054,19,17,9,7,10,20,0
102,5,87,372,3.413793103,13,8,6,2,6,13,0
103,35,421,1661,3.171021378,42,61,11,14,25,52,1
104,6,107,431,3.130841121,15,20,6,6,2,7,0
105,5,75,294,3.08,8,7,5,2,2,11,0
106,2,74,296,3.135135135,11,10,3,5,0,13,0
107,15,237,1003,3.367088608,23,28,12,6,16,36,0
108,9,172,716,3.296511628,31,21,7,5,10,31,0
109,13,184,752,3.222826087,25,28,3,2,5,30,0
110,6,175,802,3.754285714,25,25,8,4,4,13,0
111,5,93,410,3.537634409,12,18,3,2,1,10,0
112,4,90,436,3.922222222,9,8,9,4,10,15,0
113,9,188,812,3.430851064,24,32,6,14,9,25,0
114,9,169,813,3.928994083,24,22,9,5,10,28,1
115,13,526,2321,3.530418251,84,65,20,42,23,75,6
116,17,207,855,3.38647343,25,28,9,3,9,21,0
117,11,183,815,3.540983607,21,40,10,12,3,29,0
118,13,213,912,3.399061033,33,27,8,7,16,37,0
119,19,383,1593,3.37075718,37,39,14,9,18,48,3
120,12,179,739,3.357541899,23,20,9,6,5,22,0
121,7,147,609,3.326530612,20,16,8,7,6,19,1
122,5,61,318,4.31147541,10,11,1,3,4,9,0
123,12,348,1434,3.405172414,54,41,17,10,20,24,2
124,7,157,678,3.420382166,20,28,9,10,9,24,1
125,15,245,1030,3.375510204,45,32,6,5,12,37,1
126,17,253,1109,3.52173913,23,44,16,3,14,33,0
127,9,132,656,4.106060606,19,15,10,8,4,20,0
128,3,78,353,3.58974359,11,12,3,4,2,18,1
129,9,88,357,3.193181818,15,13,4,3,4,16,2
130,2,144,629,3.430555556,25,12,7,10,11,24,0
131,12,233,1028,3.566523605,25,36,11,6,16,28,0
132,12,167,777,3.784431138,25,29,14,4,5,19,0
133,8,105,451,3.428571429,10,20,7,3,6,14,0
134,11,162,710,3.481481481,25,20,4,9,19,30,2
135,16,186,786,3.413978495,28,21,14,2,10,37,1
136,9,135,532,3.155555556,11,18,6,3,8,22,0
137,22,309,1293,3.343042071,32,45,15,7,14,67,0
138,12,241,984,3.203319502,41,21,11,16,11,51,0
139,7,118,543,3.677966102,21,7,5,7,16,23,1
140,6,87,363,3.310344828,15,13,3,5,3,14,0
141,3,224,1054,3.785714286,32,50,5,4,4,34,0
142,30,390,1617,3.333333333,65,39,17,17,21,81,2
143,2,33,152,3.757575758,2,3,3,3,2,5,0
144,7,176,762,3.454545455,26,26,7,8,9,28,0
145,1,92,381,3.163043478,16,12,2,9,2,17,0
146,8,230,945,3.252173913,33,29,14,4,7,43,1
147,12,183,777,3.360655738,29,28,6,5,6,24,0
148,25,346,1540,3.601156069,51,46,12,12,15,45,0
149,5,74,278,2.864864865,10,13,2,4,7,12,2
150,9,239,925,3.020920502,50,21,10,13,18,46,1
151,19,203,815,3.133004926,31,17,6,9,18,43,4
152,21,289,1201,3.328719723,34,45,13,8,11,33,2
153,18,236,1009,3.398305085,32,32,16,7,17,38,3
154,8,144,614,3.340277778,19,22,6,8,10,24,3
155,2,98,445,3.663265306,12,20,2,6,1,10,0
156,13,283,1202,3.522968198,25,38,7,14,8,19,0
157,6,183,744,3.191256831,14,30,3,18,6,30,2
158,15,168,770,3.726190476,30,20,7,8,11,22,0
159,2,274,1240,3.572992701,43,38,20,12,17,40,1
160,33,414,1587,3.178743961,52,24,9,6,17,53,3
161,19,250,1044,3.336,39,33,15,10,11,43,0
162,7,81,337,3.308641975,16,8,3,0,5,15,0
163,17,318,1391,3.496855346,54,48,6,23,17,57,0
164,11,122,506,3.278688525,21,23,3,3,5,24,2
165,4,121,502,3.297520661,15,12,8,5,6,18,3
166,20,330,1446,3.487878788,53,44,13,12,29,52,0
167,10,192,761,3.067708333,33,27,4,3,15,40,4
168,14,254,1118,3.551181102,32,31,10,13,17,39,2
169,9,142,635,3.570422535,19,15,10,8,10,34,0
170,10,218,958,3.495412844,31,29,9,12,12,31,2
171,11,223,890,3.134529148,22,35,13,13,10,39,3
172,16,310,1369,3.541935484,43,47,16,12,18,48,1
173,5,86,379,3.569767442,7,15,6,1,4,5,0
174,5,110,442,3.118181818,16,12,5,7,6,20,1
175,7,98,380,3.020408163,14,12,8,1,3,13,1
176,29,469,2150,3.67803838,72,82,28,14,24,66,2
177,4,84,374,3.547619048,11,10,2,4,8,12,0
178,3,58,249,3.431034483,4,17,3,1,0,5,0
179,6,109,447,3.275229358,15,18,3,6,3,21,2
180,14,199,852,3.40201005,34,33,9,9,10,32,1
181,5,139,672,3.90647482,21,18,6,5,10,21,2
182,2,68,271,3.117647059,6,10,3,3,8,8,1
183,6,120,434,2.9,21,16,1,5,5,17,0
184,8,160,629,3.15,27,12,6,8,9,23,0
185,5,90,359,3.211111111,10,10,4,6,6,17,0
186,15,177,807,3.734463277,20,30,11,6,5,20,0
187,16,369,1558,3.414634146,55,51,14,9,24,51,0
188,4,113,462,3.238938053,10,16,8,2,1,18,8
189,14,251,1122,3.589641434,41,41,6,12,19,32,2
190,9,134,570,3.455223881,20,24,9,5,4,9,0
191,5,272,1175,3.4375,33,40,15,16,11,50,2
192,1,69,289,3.202898551,9,7,6,2,0,12,1
193,11,228,970,3.456140351,31,21,14,4,7,35,4
194,3,234,1076,3.662393162,28,32,18,2,15,46,1
195,19,281,1151,3.330960854,38,33,11,7,12,46,2
196,6,189,785,3.333333333,24,30,6,8,4,23,1
197,13,198,817,3.313131313,34,18,7,8,10,34,1
198,30,454,1869,3.464757709,64,47,14,4,13,45,2
199,5,139,634,3.647482014,20,25,12,9,7,21,0
200,15,179,793,3.553072626,15,36,12,4,7,22,1
201,1,97,440,3.577319588,15,18,3,13,6,18,0
202,12,251,1032,3.103585657,33,32,15,12,16,39,3
203,11,157,756,3.936305732,18,32,5,3,10,19,0
204,12,176,682,3.039772727,26,20,8,9,11,34,2
205,16,220,921,3.327272727,35,25,11,6,13,46,1
206,15,282,1089,3.134751773,41,36,8,8,7,28,1
207,11,186,700,3.129032258,13,4,4,6,5,14,0
208,29,389,1614,3.36503856,56,56,21,7,17,52,0
209,7,125,590,3.824,23,23,4,7,2,13,0
210,15,242,1038,3.404958678,25,46,13,16,14,37,0
211,11,171,762,3.561403509,30,24,6,5,20,20,0
212,15,212,875,3.372641509,26,29,8,4,10,29,3
213,7,286,1209,3.276223776,55,34,10,17,20,49,8
214,11,215,965,3.758139535,22,22,14,2,13,18,1
215,6,254,1079,3.374015748,42,29,5,17,19,47,8
216,19,300,1247,3.323333333,43,41,14,18,9,57,1
217,17,202,801,3.188118812,24,20,11,5,13,34,0
218,14,465,1753,2.984946237,65,49,20,12,17,64,0
219,5,202,903,3.608910891,23,36,12,8,3,22,0
220,11,188,804,3.361702128,29,29,11,11,18,29,1
221,2,146,628,3.356164384,31,19,5,7,14,32,1
222,8,127,526,3.267716535,17,17,2,4,8,17,0
223,6,169,761,3.627218935,22,26,2,8,9,20,2
224,9,131,521,3.183206107,19,21,6,3,10,13,0
225,13,200,838,3.37,24,27,11,5,15,31,0
226,1,31,131,3.419354839,5,7,1,0,3,5,1
227,20,263,1106,3.433460076,39,27,7,7,15,35,4
228,4,354,1500,3.302259887,61,47,8,3,23,69,4
229,1,51,209,3.196078431,10,4,1,1,1,12,0
230,4,98,399,3.183673469,14,12,5,6,4,17,0
231,8,118,471,3.110169492,22,17,3,3,8,10,0
232,15,172,760,3.552325581,25,29,7,4,9,27,1
233,15,215,941,3.474418605,28,27,14,4,12,49,4
234,8,165,734,3.545454545,28,24,6,10,18,25,0
235,15,173,646,3.028901734,22,13,7,4,2,20,0
236,18,278,1173,3.374100719,26,43,16,2,18,39,0
237,19,310,1111,2.948387097,32,22,8,6,11,30,0
238,21,344,1440,3.340116279,57,37,11,11,18,64,0
239,4,57,235,3.210526316,9,8,4,0,0,9,0
240,15,268,994,3.026119403,33,29,6,3,11,24,3
241,8,171,770,3.573099415,26,25,7,7,11,32,2
242,9,319,1292,3.285266458,45,29,6,5,14,56,3
243,10,187,800,3.368983957,24,30,9,5,6,34,1
244,1,116,491,3.327586207,11,11,6,4,6,26,1
245,1,40,169,3.275,8,8,0,4,0,9,0
246,21,448,1877,3.330357143,73,48,21,18,29,81,3
247,9,131,515,3.236641221,16,8,8,2,6,21,0
248,8,174,762,3.442528736,20,21,10,5,12,35,2
249,10,183,810,3.530054645,23,22,6,10,19,29,0
250,11,210,961,3.704761905,28,30,14,13,18,23,0
251,9,161,694,3.409937888,25,25,3,4,11,24,0
252,7,264,1080,3.185606061,46,48,7,9,6,51,5
253,6,310,1456,3.738709677,49,42,11,17,18,57,0
254,9,163,724,3.539877301,22,25,9,3,9,22,1
255,14,189,774,3.26984127,25,19,13,12,15,32,0
256,5,123,585,3.926829268,15,24,10,2,3,10,0
257,11,211,866,3.331753555,25,31,5,6,14,26,1
258,2,49,202,3.244897959,12,6,1,3,4,11,1
259,12,313,1265,3.162939297,48,44,10,15,9,57,0
260,6,147,623,3.340136054,21,17,12,8,15,29,0
261,9,140,585,3.314285714,22,18,8,5,7,29,0
262,7,138,644,3.775362319,24,19,4,6,5,20,1
263,6,109,487,3.651376147,14,9,6,4,2,15,0
264,17,238,981,3.239495798,40,29,10,11,15,49,2
265,5,45,146,2.577777778,5,4,0,2,1,6,1
266,12,180,792,3.516666667,30,18,12,4,4,35,0
267,6,141,630,3.553191489,30,17,3,1,11,21,0
268,3,68,327,3.970588235,15,7,4,2,7,6,1
269,6,113,469,3.318584071,18,15,3,4,2,17,0
270,47,498,1931,3.154618474,64,54,9,4,21,75,4
271,8,148,635,3.391891892,16,22,14,5,7,24,3
272,20,383,1445,2.911227154,51,58,13,11,24,62,3
273,19,383,1698,3.608355091,51,60,12,15,32,54,0
274,12,187,959,4.245989305,30,21,14,9,17,20,0
275,7,136,608,3.522058824,21,8,5,8,11,28,1
276,17,373,1559,3.436997319,51,32,15,8,18,42,1
277,5,146,589,3.212328767,16,20,6,6,9,21,0
278,15,230,1008,3.547826087,30,40,10,16,13,16,3
279,1,31,139,3.516129032,5,5,2,1,2,4,0
280,7,137,607,3.532846715,15,21,7,8,8,20,1
281,12,166,751,3.63253012,24,36,10,6,5,18,2
282,1,28,139,4.035714286,5,3,1,3,2,5,0
283,19,368,1610,3.557065217,49,53,13,8,19,53,1
284,6,71,282,3.126760563,10,7,2,1,5,15,1
285,5,124,630,4.209677419,15,20,11,6,8,9,1
286,9,166,712,3.451807229,19,20,10,2,14,24,2
287,18,239,959,3.179916318,37,31,8,7,16,35,2
288,1,126,489,3.055555556,13,12,3,2,5,21,0
289,25,333,1392,3.354354354,43,49,12,9,21,41,0
290,8,157,620,3.121019108,21,18,12,12,1,30,2
291,10,209,949,3.61722488,38,33,7,7,9,39,2
292,16,324,1317,3.228395062,40,50,9,9,18,48,2
293,11,246,934,3.06097561,32,30,9,7,7,30,1
294,2,48,256,4.458333333,4,10,4,3,0,3,1
295,14,165,696,3.418181818,18,26,3,5,7,22,0
296,24,388,1628,3.231958763,57,42,25,12,19,72,5
297,15,241,1044,3.232365145,29,36,15,10,18,39,3
298,24,209,769,3.19138756,26,20,3,2,8,14,0
299,36,355,1386,3.090140845,56,50,11,6,13,72,4
300,12,139,559,3.151079137,25,18,6,2,8,38,2
301,23,440,1617,3.011363636,61,38,16,11,15,56,1
302,25,539,2268,3.413729128,70,70,18,19,25,42,1
303,7,83,345,3.277108434,12,11,6,2,5,11,0
304,23,459,1867,3.272331155,63,56,25,14,25,78,0
305,4,49,191,3.12244898,5,13,0,1,4,5,0
306,12,144,601,3.368055556,24,21,3,2,11,13,1
307,10,176,728,3.227272727,28,26,5,13,9,36,2
308,11,224,960,3.370535714,24,33,10,13,9,34,4
309,9,189,828,3.486772487,27,23,5,6,15,46,0
310,6,55,215,3.145454545,10,11,0,0,0,10,0
311,5,130,556,3.384615385,19,23,8,5,3,27,0
312,19,251,1008,3.163346614,34,30,13,5,15,40,1
313,23,364,1601,3.565934066,33,42,22,14,29,55,3
314,19,267,1158,3.445692884,47,29,8,14,26,46,0
315,5,135,553,3.214814815,17,16,4,5,5,19,0
316,6,110,483,3.472727273,12,21,7,4,6,17,4
317,18,217,828,3.073732719,25,32,8,3,14,26,3
318,9,153,595,3.071895425,20,20,4,6,7,27,0
319,13,226,990,3.57079646,23,35,17,13,12,14,1
320,8,340,1426,3.261764706,44,45,13,16,23,53,1
321,1,126,585,3.674603175,16,25,5,6,6,17,0
322,9,142,586,3.26056338,21,16,1,7,14,25,0
323,12,293,1224,3.33447099,45,28,21,15,13,45,0
324,10,303,1381,3.620462046,53,40,16,14,22,60,1
325,23,261,957,2.98467433,34,22,4,4,14,33,0
326,17,242,1069,3.590909091,28,42,11,5,4,14,0
327,2,30,116,3,5,5,1,1,1,4,0
328,16,307,1268,3.299674267,49,32,12,14,8,59,0
329,4,148,633,3.412162162,22,18,4,12,7,19,0
330,13,313,1227,3.124600639,37,31,11,10,20,22,2
331,15,141,629,3.595744681,22,19,7,2,14,28,1
332,4,187,800,3.352941176,29,20,8,9,18,26,0
333,14,186,768,3.317204301,17,32,8,5,7,21,0
334,11,264,1178,3.598484848,46,42,10,12,13,28,1
335,10,139,572,3.309352518,19,20,10,1,8,19,0
336,21,247,1097,3.55465587,44,24,10,8,11,50,0
337,7,132,556,3.333333333,23,13,7,7,4,26,1
338,13,151,671,3.589403974,26,18,12,2,10,22,0
339,9,167,671,3.137724551,22,24,10,2,10,16,0
340,6,193,724,2.886010363,28,31,10,0,15,40,8
341,25,245,1006,3.273469388,37,45,7,3,9,41,0
342,5,39,165,3.41025641,5,8,1,1,1,5,0
343,28,302,1252,3.360927152,30,33,15,5,16,39,0
344,14,173,698,3.231213873,27,30,6,2,4,25,0
345,8,179,728,3.212290503,21,32,5,5,9,16,4
346,16,260,1120,3.396153846,41,37,12,16,12,52,0
347,14,234,990,3.311965812,24,46,12,11,21,32,1
348,8,148,729,4.033783784,21,26,11,7,8,16,0
349,20,432,1727,3.303240741,59,42,4,10,19,35,1
350,16,316,1242,3.174050633,49,36,8,9,22,39,0
351,14,199,863,3.447236181,32,24,11,2,8,38,1
352,11,242,1047,3.5,35,42,10,6,13,31,6
353,11,126,521,3.261904762,13,7,10,7,4,25,1
354,11,224,1004,3.714285714,25,23,12,3,16,21,4
355,18,450,1932,3.493333333,70,57,11,13,18,65,1
356,18,191,742,3.120418848,21,22,6,8,12,21,2
357,15,169,625,2.917159763,17,24,7,6,6,21,1
358,12,114,485,3.377192982,17,15,7,5,10,17,0
359,5,58,270,3.75862069,7,9,3,2,3,12,0
360,5,180,776,3.461111111,22,21,8,2,11,28,0
361,11,219,1041,3.831050228,30,33,13,13,22,37,0
362,10,125,487,3.016,16,22,3,1,8,25,0
363,26,532,2273,3.385338346,82,87,12,21,27,91,0
364,7,206,880,3.344660194,35,27,9,5,17,32,0
365,12,101,507,4.178217822,15,20,7,4,3,7,0
366,6,191,799,3.382198953,26,24,7,4,5,13,1
367,10,208,898,3.346153846,36,26,7,7,14,47,1
368,10,129,600,3.80620155,19,27,5,4,3,16,0
369,5,173,780,3.630057803,23,26,7,5,8,24,2
370,22,353,1517,3.461756374,46,38,19,11,13,52,2
371,10,121,493,3.239669421,16,17,8,3,3,17,0
372,15,255,1040,3.2,47,32,7,4,14,42,6
373,6,87,442,4.229885057,11,13,2,3,2,18,0
374,13,141,567,3.191489362,26,16,3,2,6,27,0
375,16,215,893,3.274418605,28,31,10,7,13,33,1
376,21,318,1276,3.216981132,39,38,9,9,18,33,2
377,15,290,1202,3.313793103,39,44,7,19,15,47,1
378,6,104,422,3.192307692,21,12,5,3,4,18,0
379,1,89,392,3.438202247,15,15,2,3,7,22,0
380,10,186,828,3.629032258,29,18,4,8,16,27,1
381,32,536,1776,2.708955224,59,40,11,1,8,56,0
382,10,182,736,3.175824176,24,25,6,2,12,25,0
383,4,99,398,3.121212121,12,17,1,2,7,17,0
384,11,222,896,3.301801802,23,19,12,5,11,33,0
385,7,113,526,3.752212389,13,18,7,6,7,15,1
386,24,371,1633,3.509433962,64,60,8,20,17,63,0
387,4,69,308,3.623188406,10,9,3,3,7,11,0
388,3,47,218,3.723404255,9,10,2,2,2,7,0
389,10,101,426,3.396039604,9,13,12,1,7,17,0
390,17,281,1156,3.266903915,32,44,13,9,8,37,0
391,12,192,805,3.286458333,29,25,6,11,12,34,1
392,13,189,825,3.465608466,32,27,5,10,9,34,4
