,Grammar_Error_List
MORFOLOGIK_RULE_EN_US,14260
COMMA_COMPOUND_SENTENCE,1996
EN_CONTRACTION_SPELLING,1190
UPPERCASE_SENTENCE_START,888
SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,620
I_LOWERCASE,361
TO_TOO,338
EN_A_VS_AN,293
EN_COMPOUNDS,282
COMMA_PARENTHESIS_WHITESPACE,275
COMMA_COMPOUND_SENTENCE_2,248
IT_IS,244
HE_VERB_AGR,228
EVERYDAY_EVERY_DAY,217
ENGLISH_WORD_REPEAT_BEGINNING_RULE,214
ENGLISH_WORD_REPEAT_RULE,184
MISSING_COMMA_AFTER_INTRODUCTORY_PHRASE,172
EN_UNPAIRED_BRACKETS,163
SENTENCE_WHITESPACE,154
YOUR,144
AFFECT_EFFECT,144
YOUR_YOU_2,143
A_NNS,139
POSSESSIVE_APOSTROPHE,122
CANT,117
QUESTION_MARK,106
WONT_CONTRACTION,104
THERE_THEIR,104
INCORRECT_CONTRACTIONS,98
ITS_TO_IT_S,96
FIRST_OF_ALL,95
PRP_COMMA,94
MD_BASEFORM,91
LETS_LET,86
BEEN_PART_AGREEMENT,86
THEIR_IS,79
ANY_BODY,74
YOUTUBE,74
ALL_OF_THE,71
IT_VBZ,71
TWITTER,70
WITH_OUT,59
A_INFINITIVE,57
BELIVE_BELIEVE,57
DT_PRP,56
NUMEROUS_DIFFERENT,54
OUT_SIDE,52
IT_IS_2,51
HAVE_PART_AGREEMENT,49
REASON_IS_BECAUSE,48
AGREEMENT_SENT_START,48
PRP_VBG,47
MICROSOFT_PRODUCTS,47
PRP_VB,46
NOW_A_DAYS,44
TOMORROW_POSSESSIVE_APOSTROPHE,43
EXTREME_ADJECTIVES,43
EN_SPECIFIC_CASE,43
THE_SENT_END,42
THIS_NNS,40
PEOPLE_VBZ,39
ON_COMPOUNDS,39
SOME_OF_THE,39
NEWS_COMPOUNDS,38
NON3PRS_VERB,38
HOME_COMPOUNDS,36
PRP_THE,34
NODT_DOZEN,34
IN_A_X_MANNER,33
COMP_THAN,33
PLURAL_VERB_AFTER_THIS,33
COMPARISONS_THEN,32
PRP_REPITION,32
THE_THEY,32
PRP_MD_NN,32
CYBER_COMPOUNDS,32
GOOGLE_PRODUCTS,31
THE_SUPERLATIVE,30
WANT_TO_NN,30
MANY_NN,30
MISSING_TO_BEFORE_A_VERB,29
THERE_S_MANY,29
DOUBLE_PUNCTUATION,29
FEWER_LESS,29
WANNA,29
MASS_AGREEMENT,26
LOOSE_LOSE,26
IF_OF,25
HAND_COMPOUNDS,25
PRP_JJ,25
CAUSE_BECAUSE,25
ARN_T,25
WHETHER,24
LESS_MORE_THEN,24
VERB_APOSTROPHE_S,24
RECOMMENDED_COMPOUNDS,23
DOSNT,23
ON_SKYPE,23
PRP_PAST_PART,23
LITTLE_BIT,22
AN_AND,21
TO_NON_BASE,21
THE_PUNCT,21
OVER_COMPOUNDS,21
PRONOUN_NOUN,20
WHOLE_LOT,20
PHRASE_REPETITION,19
MOST_COMPARATIVE,19
DOUBLE_NEGATIVE,19
IF_WE_CANT_COMMA,18
EYE_COMPOUNDS,17
USE_TO_VERB,17
GONNA,17
MOST_EVERYONE,16
MUCH_COUNTABLE,16
ETC_PERIOD,16
SPURIOUS_APOSTROPHE,16
OUTSIDE_OF,16
YOU_THING,15
DOOR_COMPOUNDS,15
APOS_ARE,15
CC_NNP_VBP,14
INTERJECTIONS_PUNCTUATION,14
AND_ETC,14
YOUR_YOU_RE,14
PRP_MD_PRP_MD_COMMA,14
THE_ARE,14
COUD_T,14
THRU,13
ADJECTIVE_ADVERB,13
OTHER_OTHERS,13
PERS_PRONOUN_AGREEMENT,12
AUXILIARY_DO_WITH_INCORRECT_VERB_FORM,12
COMMA_COMPOUND_SENTENCE_3,12
COMMA_TAG_QUESTION,12
DT_DT,12
EVERY_WHERE,12
COMMA_PERIOD,12
A_MY,12
VERB_NOUN_CONFUSION,12
ADVERB_WORD_ORDER,12
DOWN_COMPOUNDS,12
BUNCH_OF,12
YO_TO,12
YEAR_OLD_HYPHEN,11
SOME_WHERE,11
ADVISE_VBG,11
WAN_T,11
SINGULAR_VERB_AFTER_THESE_OR_THOSE,11
IF_VB,11
HAVE_TWITTER,11
WORLD_WIDE,11
SUBJECT_VERB_AGREEMENT_PLURAL,11
CAPITALIZATION,10
HOUSE_COMPOUNDS,10
LOT_OF,10
EN_DIACRITICS_REPLACE,10
SOME_TIMES,10
APART_A_PART,10
DID_BASEFORM,10
LIFE_COMPOUNDS,10
AFFECTS,10
THERE_RE_MANY,10
RELATIVE_CLAUSE_AGREEMENT,10
MISSING_HYPHEN,10
A_TO,10
ANYWAYS,10
PERS_PRON_CONTRACTION,9
ONES,9
CONFUSION_OF_ADDICTING_ADDICITVE,9
A_GOOGLE,9
A_LOT_OF_NN,9
ALL_MOST_SOME_OF_NOUN,9
SOFTWARES,9
THERE_IS_A_LOT_OF,9
AND_END,9
TOO_TO,8
WHEN_WHERE,8
CONFUSION_OF_THEN_THAN,8
WERE_WHERE,8
DO_ARTS,8
WHO_WHOM,8
UNNECESSARY_COMMA,8
MODAL_OF,8
DIFFERENT_THAN,8
PRP_HAVE_VB,8
WAY_COMPOUNDS,8
WRITER_COMPOUNDS,8
ANYMORE_ADVERB,8
IN_THE_INTERNET,8
THE_HOW,7
WRB_THERE_THEY_RE,7
SEND_PRP_AN_EMAIL,7
MANY_NN_U,7
IF_THERE,7
MAN_COMPOUNDS,7
I_FOR_ONE_VB_COMMA,7
SUBJECT_DROP,7
THANK_FULL,7
ONE_ONCE,7
THE_BEST_WAY,7
YOUR_YOU,7
ARE_WE_HAVE,7
BUILT_IN_HYPHEN,7
NOW_AND_DAYS,7
ANINFOR_EVERY_DAY,7
AGREEMENT_SENT_START_2,7
MA_MY,7
DOESENT,7
RATHER_THEN,7
COULD_OF,7
EVERY_EACH_SINGULAR,6
NOWADAYS_COMMA,6
FURTHER_MORE_COMPOUND,6
ANY_MORE,6
OTHER_WISE_COMPOUND,6
YOU_TUBE,6
SUPERLATIVE_THAN,6
YOUR_NN,6
WERE_VBB,6
YOUR_RE,6
HANGOUT_VERB,6
I_IF,6
BE_VBP_IN,6
SOME_NN_VBP,6
A_UNCOUNTABLE,6
UP_TO_DATE_HYPHEN,6
EVERY_BODY,6
I_AM_VB,6
MD_BE_NON_VBP,6
TO_TWO,6
IT_ITS,5
FOR_AWHILE,5
OTHER_THEN,5
BU,5
DEPENDENT,5
CD_NN,5
ANS_AND,5
THE_SOME,5
EN_WORD_COHERENCY,5
ALLOW_TO,5
SO_CALLED_HYPHEN,5
MOST_SUPERLATIVE,5
IT_IT,5
HE_THE,5
SUPPOSE_TO,5
A_RB_NN,5
CURRENCY,5
BY_BUY,5
EN_SPLIT_WORDS_HYPHEN,5
MINUETS,5
CHRISTMAS,5
UNDER_COMPOUNDS,5
HAVE_BIN,5
ALL_WAYS,5
THEYRE_THEIR,5
ARTICLE_ADJECTIVE_OF,5
ADVERB_VERB_ADVERB_REPETITION,5
ABOUT_ITS_NN,5
US_USE,5
YOUR_LOVES_ONES,5
ONCE_AND_A_WHILE,4
NE,4
CONFUSION_OF_ME_I,4
WRONG_APOSTROPHE,4
IN_ANYWAY,4
THROUGH_OUT,4
GENERAL_XX,4
BALL_COMPOUNDS,4
MISSING_TO_BETWEEN_BE_AND_VB,4
EVER_DAY,4
WHAT_SO_EVER,4
RB_RB_COMMA,4
ADMIT_ENJOY_VB,4
DEPEND_ON,4
DONT_WHAT,4
ONE_PLURAL,4
UP_COMPOUNDS,4
AN_VB_PRP,4
IVE_CONTRACTION,4
HAD_VBP,4
THERE_VBP_NN,4
SINGULAR_AGREEMENT_SENT_START,4
PAYED,4
CORSE_COURSE,4
THE_IT,4
NON_STANDARD_WORD,4
SPECIFIC_POSSESSIVE_APOSTROPHE,4
CA_PRP,4
HAVNT,4
WHERE_AS,4
ALLOW_TO_DO,4
HOME_COMPOUNDS_EN_US,4
PREPOSITION_VERB,4
YOURE,4
NNS_IN_NNP_VBZ,4
WHERE_MD_VB,4
TOO_ADJECTIVE_TO,4
GOTTA,4
COMMA_THAN,4
NOUN_AROUND_IT,4
FOR_EVER_US,4
BACK_COMPOUNDS,4
THANK_THANKS,4
I_DONT_DT,4
A_HUNDREDS,4
THERE_OWN,4
IT_SOMETHING,4
NO_WHERE,4
THERE_FORE,3
CA_BRAND_NEW,3
BELIEVE_BELIEF,3
THIS_YEARS_POSSESSIVE_APOSTROPHE,3
COM_COME,3
WILL_BASED_ON,3
IS_SHOULD,3
THE_MOST,3
BE_PART_AGREEMENT_2,3
COMMA_COMPOUND_SENTENCE_4,3
THE_THEM,3
AFFORD_VBG,3
HE_LIKE,3
LESS_COMPARATIVE,3
TWO_CONNECTED_MODAL_VERBS,3
DID_PAST,3
ALL_TIME_HYPHEN,3
LC_AFTER_PERIOD,3
WORKOUT_VERB,3
RELY_ON,3
FAR_OF_FROM,3
TO_DO_HYPHEN,3
FOR_ALONG_TIME,3
HE_NEED,3
PRINT_COMPOUNDS,3
IF_YOU_ANY,3
NON_ANTI_JJ,3
THOUGH_THOUGHT,3
TANK_YOU,3
WORD_ESSAY_HYPHEN,3
EVERY_EVER,3
TOO_DETERMINER,3
A_MUCH_NN1,3
VIDEO_TAPE_COMPOUND,3
PRP_RB_NO_VB,3
FOR_FRO,3
MORE_EASY_N_CLEAR,3
PAST_EXPERIENCE_MEMORY,3
AGREE_WITH_THE_FACT,3
THE_FRENCH,3
THING_THINK,3
STARS_AND_STEPS,3
I_NOT_JJ,3
MANGE_MANAGE,3
STAIRS_COMPOUNDS,3
THEM_SELVES,3
VARY_VERY,3
ITS_JJ_NNSNN,3
THIS_MISSING_VERB,3
EACH_EVERY_NNS,3
WORLDS_BEST,3
SOMETIME_SOMETIMES,3
THIS_IS_HAVE,3
WHOS,3
IS_VBZ,3
IN_FACEBOOK,3
WONT_WANT,3
SECOND_LARGEST_HYPHEN,3
A_BUT,3
DIDENT,3
HARD_WORKING_COMPOUND,3
SENT_START_THEM,3
HASNT_IRREGULAR_VERB,3
ALSO_OTHER,3
WEB_COMPOUNDS,3
ID_CASING,3
MISSING_COMMA_WITH_NNP,3
BECAUSE_OF_THE_FACT_THAT,3
NIT_NOT,3
WOLD_WOULD,3
NOUN_VERB_CONFUSION,3
AND_BUT,3
KNOW_NOW,3
IS_WERE,3
DAMAGE_OF_TO,2
SHOULD_BE_DO,2
NEITHER_NOR,2
MISSING_ARTICLE,2
OBJECTIVE_CASE,2
ON_GOING,2
THE_SAME_AS,2
WRONG_GENITIVE_APOSTROPHE,2
THOUGH_THROUGH,2
PAST_TIME,2
EVERY_SINCE,2
ALLOT_OF,2
IN_STEAD_OF,2
LOSE_LIVES,2
FINAL_ADVERB_COMMA,2
TROUGH_THROUGH,2
ATD_VERBS_TO_COLLOCATION,2
SO_THEREFORE,2
HUH_COMMA,2
WEEK_LONG_HYPHEN,2
IT_IS_JJ_TO_VBG,2
WRIGHT_WRITE,2
AS_ADJ_AS,2
BASE_FORM,2
IN_A_TROUBLE,2
ONE_OF_THE_ONLY,2
WHAT_TO_VBD,2
SUMMER_TIME,2
PROGRESSIVE_VERBS,2
NOTE_TAKING_HYPHEN,2
ALL_NN,2
THAT_THAN,2
LAYING_AROUND,2
THE_JJR_THE_MORE_COMMA,2
NOW,2
NEAR_BY,2
BUY_VBG,2
THAT_S_YOU_RE,2
CAN_I_VBD,2
PRP_WONT,2
NO_KNOW,2
WIDE_COMPOUNDS,2
ONE_OF,2
VBZ_VBD,2
WARE_COMPOUNDS,2
MILE_HYPHEN,2
KEY_WORDS,2
STEP_BY_STEP_HYPHEN,2
APOS_SPACE_CONTRACTION,2
IN_ALONG_TIME,2
CONDITIONAL_CLAUSE,2
NONE_THE_LESS,2
HOW_COMPOUNDS,2
LEARN_NNNNS_ON_DO,2
SOME_WHAT_JJ,2
ANY_WHERE,2
BREATHE_BREATH,2
IN_TO_INTO,2
PREFER_OVER_TO,2
YOU_HAV,2
CA_FIRST_HAND,2
PROBLEM_SOLVE_HYPHEN,2
INCORRECT_POSSESSIVE_FORM_AFTER_A_NUMBER,2
WOLD,2
CONFUSION_OF_MARS_MARS,2
OVER_SEAS,2
CROSS_COMPOUNDS,2
DID_FOUND_AMBIGUOUS,2
TURNED_OFF,2
SIGN_INTO,2
ASK_THE_QUESTION,2
ALL_AND_ALL,2
DO_TO_THE_FACT_THAT,2
PRP_NEW,2
THEIR_S,2
HOW_EVER,2
GOING_TO_VBD,2
THEMSELF,2
MASSAGE_MESSAGE,2
BECAUSE_OF_I,2
MATE_COMPOUNDS,2
WERE_ARE,2
AM_I,2
LET_IT_INFINITIVE,2
CONFUSION_OF_THESES_THESE,2
STEP_COMPOUNDS,2
HEP,2
CAN_WHAT,2
THAT_VERY_COOL,2
MISSING_APOSTROPHE_T,2
NOT_US1,2
AFFORD_VB,2
ABLE_TO_PASSIVE,2
THOUSANDS_OF_NN,2
CONFUSION_OF_MANS_MEN,2
U_RE,2
BE_COME,2
THIRD_WORLD,2
BREAKING_COMPOUNDS,2
REPEATED_VERBS,2
DON_T_AREN_T,2
DT_RB_IN,2
DO_YOU_WHAT,2
CONSEQUENCES_OF_FOR,2
LOT_S,2
KIND_OF_A,2
ACHE_COMPOUNDS,2
LOG_IN,2
CONFUSION_OF_RIDE_RID,2
TO_RB_TO_VB,2
RELAY_RELY,2
OURSELF,2
ORDER_OF_WORDS_WITH_NOT,2
WHITE_HOUSE,2
IF_IS,2
PRP_VB_VB_TO,1
CAN_ABLE_TO,1
CAN_BACKUP,1
A_CD_NNS,1
SEE_SEEN,1
NO_COMMA_BEFORE_INDIRECT_QUESTION,1
HOE_HOW,1
BETWEEN_TO_AND,1
DIS,1
PRP_RB_JJ,1
ARRIVE_ON_AT_THE_BEACH,1
ABLE_VBP,1
THEE,1
MISSING_PAST_TENSE,1
BE_USE_TO_DO,1
CURIOS_CURIOUS,1
LIGHT_COMPOUNDS,1
OUT_OF_PLACE,1
WE_APOSTROPHE_ARE,1
MAD_MADE,1
ILL_I_LL,1
EXITED_EXCITED,1
NEE,1
PLAY_COMPOUNDS,1
WILL_LIKE_TO,1
AWAY_AWAYS,1
ITS_IS,1
WANT_BE,1
SEND_AN_EMAIL,1
AND_THAN,1
AN_ARE,1
SAVE_SAFE,1
HANDS_ON_HYPHEN,1
FRISBEE,1
QUIET_QUITE,1
HAPPED_HAPPENED,1
BARLEY_BARELY,1
WHAT_IS_YOU,1
DO_TO,1
PRP_ABLE_TO,1
EN_SIMPLE_REPLACE,1
I_MA,1
LAND_COMPOUNDS,1
APOSTROPHE_VS_QUOTE,1
RITE_RIGHT,1
TAT,1
NEEDS_FIXED,1
NNS_THAT_AGREEMENT,1
IN_TO_VBD,1
TAKE_SOMETIME,1
ROTE_WROTE,1
MD_ABLE,1
ALLTHOUGH,1
WOULD_NEVER_VBN,1
HOOD_COMPOUNDS,1
MANNER_MATTER,1
LONG_COMPOUNDS,1
LOOSING_EFFORTRECORDSEASON,1
HEART_HEARD,1
AFTERALL,1
FELLOW_CLASSMATE,1
CHALK_FULL,1
SUPER_COMPOUNDS,1
YOUR_E,1
YOUR_SHOULD,1
THE_US,1
THERE_WAS_MANY,1
COULDVE_IRREGULAR_VERB,1
HIGH_END_HYPHEN,1
LESS_DOLLARSMINUTESHOURS,1
JAPAN,1
THIS_NNS_VB,1
THINK_OFF,1
I_IN,1
A_MD_VB,1
OVERNIGHT,1
IT_TIME_TO,1
WANT_ONE,1
THEY_WHERE,1
TO_FRESH_UP,1
ALONG_TIME,1
MANY_TIME,1
SHIP_COMPOUNDS,1
CHOICE_CHOOSE,1
MISS_VERB,1
MUCH_NEEDED_HYPHEN,1
SO_AS_TO,1
IS_CAUSE_BY,1
VERY_KNOWN,1
CAPITALIZATION_NNP_DERIVED,1
VBG_YOURE,1
MENTION_ABOUT,1
BACK_AND_FOURTH,1
HAS_AS,1
ANTHER,1
ADOPT_TO,1
NNS_THAT_VBZ,1
IF_VB_PCT,1
ALL_OF_THE_SUDDEN,1
TURN_IT_OF,1
ASK_NO_PREPOSITION,1
WHAT_VBZ,1
CALL_OF_DUTY,1
IN_CHINA,1
FROM_FORM,1
NUT_NOT,1
WHO_VERB,1
GOOD_IN_AT_GERUND,1
IM_I_M,1
GOING_TO_VACATION,1
PER_SE,1
HAVE_A_SHOWER,1
FOUD_FOUND,1
THERE_MISSING_VERB,1
COLLEGE_COLLEAGUE,1
ADVICE_ADVISE,1
COMPERE,1
AT_IN_THE_KITCHEN,1
MOST_OF_THE_TIMES,1
MISSING_APOSTROPHE,1
DONT_NEEDS,1
EM_ME,1
PRP_MAYBE_JJ,1
DOSE_DOES,1
HART_HARD,1
THE_ADD_ON,1
GO_GERUND,1
SEEN_SEEM,1
INCH_HYPHEN,1
THEN_WHEN_COMMA,1
GOOD_GOOF,1
DT_JJ_NO_NOUN,1
OVER_TIME,1
IN_TACT,1
HAVE_RB_HAVE,1
GAMEBOY,1
COMPARISONS_NNS_THEN,1
LOSE_LOSS,1
ASK_WETHER,1
WENT,1
MUST_BE_DO,1
LOTS_OF_NN,1
VERY_UNIQUE,1
WHOS_NN,1
HING,1
GO_TO_HYPHEN,1
NON_NONE,1
THE_LATER_LATTER,1
TOILET,1
NUMBER_OF_NNS,1
CONFUSION_OF_ANOTHER_IN_OTHER,1
FOCUS_IN,1
WELL_WILL,1
UNITE_STATES,1
BASE_BASIS,1
PRP_FOND,1
WASENT,1
POSSESSIVE_CASE,1
LIFE_CHANGING_HYPHEN,1
APOSTROPHE_IN_DAYS,1
DO_DUE,1
DOES_X_HAS,1
EVERYONE_OF,1
DOES_YOU,1
DO_YOU_FASCINATED,1
SIMPLE_TO_USE_HYPHEN,1
ASK_TO,1
MUST_HAVE,1
EVERY_NOW_AND_THEN,1
CA_CUT_AND_PASTE,1
PRP_DON,1
SHORT_CUT,1
FRIEND_COMPOUNDS,1
WHO_NOUN,1
IDK,1
MUST_MOST,1
I_HERD,1
ENGLISH_WRONG_WORD_IN_CONTEXT,1
SAID_SAD,1
IS_US,1
DEPRIVE_FROM_OF,1
PRP_HAVES,1
FR,1
YOU_R,1
ALL_OVER_THE_WORD,1
MISSING_PREPOSITION,1
OF_ANY_OF,1
HELP_TO_FIND,1
GIVE_ADVISE,1
LIVE_LIFE,1
ADVERB_OR_HYPHENATED_ADJECTIVE,1
PERSONAL_PERSONNEL,1
ROLL_COMPOUNDS,1
VBZ_IN_THEYRE_NN,1
IN_THE_MOMENT,1
CANN_T,1
A_INFORMATION,1
THE_ONLY_ON,1
WORD_WORLD,1
A_HEADS_UP,1
EQUALLY_AS,1
THERE_RE_CONTRACTION_UNCOMMON,1
WRITE_UP_HYPHEN,1
COME_IN_TO,1
AL_ALL,1
MOST_SOME_OF_NNS,1
WEN_WE,1
SHORT_SUPERLATIVES,1
DOUBLE_HYPHEN,1
WORTH_WHILE,1
INFORMATIONS,1
GRADUATE_FROM,1
IN_OR_WITH_REGARDS_TO_OF,1
DIDINT,1
IF_WOULD_HAVE_VBN,1
WASEN_T,1
ON_OF_THE,1
HOW_YOU_DOING,1
APPLE_PRODUCTS,1
LIFE_LIVE,1
ROOM_COMPOUNDS,1
AND_SO_ONE,1
WEATHER_WHETHER,1
FASTLY,1
SHELL_COMPOUNDS,1
SHUTDOWN,1
